formula,band_gap
Mg14CrSi,0.0
Mg14CrSb,0.0
Mg14CrMo,0.0
Mg14CrGa,0.0
Mg14CrFeO16,0.0
Mg14CrFe,0.0
Mg14FeNi,0.0
Mg14FeNiO16,0.0
Mg14MnCu,0.0
Mg14MnCrO16,0.0
Mg14MnCuO16,0.0
Mg14MnCd,0.0
Mg14NbAl,0.0
Mg14MnZn,0.0
Mg14MnSnO16,0.0
Mg14MnSn,0.0
Mg14MnSi,0.0
Mg14MnNi,0.0
Mg14MnBiO16,0.0
Mg14GaFe,0.0
Mg14GaCu,0.0
Mg14GaCo,0.0
Mg14GaC,0.0
Mg14FeSn,0.0
Mg14FeSi,0.0
Mg14FeSb,0.0
Mg14GaNi,0.0
Mg14MnBi,0.0
Mg14MnAlO16,0.0
Mg14GaW,0.0
Mg14GaSi,0.0
Mg14GaSb,0.0
Mg16Si8HO32,0.0
Mg16TaAl12,0.0
Mg16UAl12,0.0
Mg16ZrAl12,0.0
Mg17(SiO3)16,0.0
Mg17(SiO3)20,0.0
Mg17Al11Ag,0.0
Mg17Al12,0.0
Mg17Al11Sn,0.0
Mg17Al11Si,0.0
Mg17Al11Pt,0.0
Mg17Al11In,0.0
