formula,FE
Y3Si3O10F,-3.691574759558823
La3Ti4O12,-3.691348295175438
Gd3NbO7,-3.6905768925000006
U13O34,-3.689897802659573
La3Nd11(Si3O13)3,-3.6893490751612887
YZr4O9,-3.6881091555892858
TiF4,-3.6880844846666654
GdAlO3,-3.687868419
La3TaO7,-3.6877974988484814
SrUO4,-3.687772768749999
NaHo9(Si3O13)2,-3.687687227413793
Tb2SiO5,-3.6871094146875016
Ho2Ti2O7,-3.686626486439394
Na3CaMg3AlF14,-3.685919852460815
Tm10Ti6O27,-3.684734887034885
BaNaTiF6,-3.6842715821902936
Sm2Zr8O19,-3.683656239999999
Sr2InF7,-3.683650577666663
BaLa2Ti3O10,-3.6833114234375
LaSmO3,-3.6824437256250007
Er2Ti2O7,-3.681694216818181
Tb2Ti2O7,-3.681632636439394
Y9Er3Al20O48,-3.681430921999999
Gd2TiO5,-3.6813451708333353
Sm3NbO7,-3.681187103409087
Ba2YCr2F11,-3.68052552296875
BaCa2Y6O12,-3.6801811880952378
Ce9DyO20,-3.6799340954999993
Zr11VO24,-3.6791198416666657
CaLa2TiO6,-3.679048348833332
Ba2U2O7,-3.678860137045454
Y3ErTi4(SiO9)2,-3.6787467815476194
Y2BeO4,-3.6787445657142857
Tm6ReO12,-3.678565245921039
Tm2Si2O7,-3.677916563030303
SrCaU2O8,-3.677719854999998
Ba2SmPaO6,-3.677695320999999
SrVF5,-3.677572388928571
GdErO3,-3.6766960284166657
BaDy2O4,-3.6765256976190464
CaY2O4,-3.676390470357144
YZr5O11,-3.676306111073534
YVF5,-3.674967593214287
La2Ti2SiO9,-3.6749402056547615
Cs2ZrF6,-3.674698587777778
Ba2ErUO6,-3.674692783499998
Zr8Sc2O19,-3.674275589137929
U(OF)2,-3.674220707999997
SrDy2O4,-3.673887814642857
Ba2ScUO6,-3.673176224999999
Gd2ScNbO7,-3.673133039772726
SrLa2Sc2O7,-3.672692644166664
Ba2La3Si3O12F,-3.672660988809522
Eu2Hf2O7,-3.672296588409089
La13(B2O13)2,-3.671889316085272
K2UF6,-3.671403426388887
TiF3,-3.6713244152083337
Ce9SmO20,-3.671001431999999
Ce2Nd2O7,-3.670930115454548
Nd3GdAl4O12,-3.6701120836249994
Ce9GdO20,-3.6698540296666655
NaUF6,-3.6696983637499976
Y10Ta4O25,-3.66944898447009
BaSrCeHfO6,-3.6691872234999994
MgTiF5,-3.668684339404763
CaTb2O4,-3.668466960892857
Y2Si2O7,-3.668284935757577
Sm3PO7,-3.6682759518181816
LaPr3Al4O12,-3.668219175999999
Ho10Ti6O27,-3.667974014534882
SrNd4Si3O13,-3.667866194880952
Sm2ScTaO7,-3.6675330999848414
ScAlO3,-3.667039976499999
BaEuHfZrO6,-3.66682505
SrU2O6,-3.6667198894444417
La4Ti9O24,-3.665690550945946
Ba2CeHfO6,-3.664670959749999
LaCeAl2O6,-3.663615492999999
Y2Ti2O7,-3.663614062575758
ZrMnF6,-3.6635866441163785
Zr3Pb(O2F3)2,-3.663311097142857
Gd5Si2BO13,-3.663097509126984
Zr9ScO20,-3.662749775729168
Er3OF10,-3.661278186830356
Rb2ZrF6,-3.6612020644444407
Sr3U11O36,-3.660933816999998
